Progreso tensor([1.6606], device='cuda:0') %
Progreso tensor([1.7445], device='cuda:0') %
Progreso tensor([1.8343], device='cuda:0') %
Progreso tensor([1.9383], device='cuda:0') %
Progreso tensor([1.9737], device='cuda:0') %
Progreso tensor([2.0246], device='cuda:0') %
Progreso tensor([2.0435], device='cuda:0') %
Progreso tensor([2.0543], device='cuda:0') %
Progreso tensor([2.0941], device='cuda:0') %
Progreso tensor([2.2115], device='cuda:0') %
Progreso tensor([2.1877], device='cuda:0') %
Progreso tensor([2.2942], device='cuda:0') %
Progreso tensor([2.3714], device='cuda:0') %
Progreso tensor([2.3743], device='cuda:0') %
Progreso tensor([2.6630], device='cuda:0') %
Progreso tensor([2.6612], device='cuda:0') %
Progreso tensor([2.5277], device='cuda:0') %
Progreso tensor([2.5567], device='cuda:0') %
Progreso tensor([2.5976], device='cuda:0') %
Progreso tensor([2.6315], device='cuda:0') %
Progreso tensor([2.5844], device='cuda:0') %
Progreso tensor([2.6386], device='cuda:0') %
Progreso tensor([2.6320], device='cuda:0') %
Progreso tensor([2.4886], device='cuda:0') %
Progreso tensor([2.7166], device='cuda:0') %
Progreso tensor([2.5342], device='cuda:0') %
Progreso tensor([2.8571], device='cuda:0') %
Progreso tensor([2.5011], device='cuda:0') %
Progreso tensor([2.8890], device='cuda:0') %
Progreso tensor([2.7536], device='cuda:0') %
Progreso tensor([2.6314], device='cuda:0') %
Progreso tensor([2.7628], device='cuda:0') %
Progreso tensor([2.7466], device='cuda:0') %
Progreso tensor([2.7755], device='cuda:0') %
Progreso tensor([2.7033], device='cuda:0') %
Progreso tensor([2.7050], device='cuda:0') %
Progreso tensor([2.8133], device='cuda:0') %
Progreso tensor([2.5372], device='cuda:0') %
Progreso tensor([2.8555], device='cuda:0') %
Progreso tensor([2.8360], device='cuda:0') %
Progreso tensor([2.7217], device='cuda:0') %
Progreso tensor([2.8220], device='cuda:0') %
Progreso tensor([2.8062], device='cuda:0') %
Progreso tensor([2.8357], device='cuda:0') %
Progreso tensor([2.9680], device='cuda:0') %
Progreso tensor([2.9034], device='cuda:0') %
Progreso tensor([2.6922], device='cuda:0') %
Progreso tensor([3.1704], device='cuda:0') %
Progreso tensor([2.7797], device='cuda:0') %
Progreso tensor([2.9937], device='cuda:0') %
Progreso tensor([2.7036], device='cuda:0') %
Progreso tensor([2.8919], device='cuda:0') %
Progreso tensor([2.9023], device='cuda:0') %
Progreso tensor([2.6954], device='cuda:0') %
Progreso tensor([2.8821], device='cuda:0') %
Progreso tensor([2.7371], device='cuda:0') %
Progreso tensor([3.0855], device='cuda:0') %
Progreso tensor([2.7675], device='cuda:0') %
Progreso tensor([2.9872], device='cuda:0') %
Progreso tensor([2.7134], device='cuda:0') %
Progreso tensor([2.9041], device='cuda:0') %
Progreso tensor([2.9218], device='cuda:0') %
Progreso tensor([2.9164], device='cuda:0') %
Progreso tensor([2.8846], device='cuda:0') %
Progreso tensor([2.8501], device='cuda:0') %
Progreso tensor([2.8956], device='cuda:0') %
Progreso tensor([3.0325], device='cuda:0') %
Progreso tensor([2.8405], device='cuda:0') %
Progreso tensor([2.7804], device='cuda:0') %
Progreso tensor([2.8602], device='cuda:0') %
Progreso tensor([2.9485], device='cuda:0') %
Progreso tensor([2.8160], device='cuda:0') %
Progreso tensor([2.9114], device='cuda:0') %
Progreso tensor([2.9652], device='cuda:0') %
Progreso tensor([2.8518], device='cuda:0') %
Progreso tensor([2.9449], device='cuda:0') %
Progreso tensor([2.9714], device='cuda:0') %
Progreso tensor([2.8963], device='cuda:0') %
Progreso tensor([2.9714], device='cuda:0') %
Progreso tensor([3.1662], device='cuda:0') %
Progreso tensor([2.8410], device='cuda:0') %
Progreso tensor([2.8758], device='cuda:0') %
Progreso tensor([2.9431], device='cuda:0') %
Progreso tensor([2.9710], device='cuda:0') %
Progreso tensor([3.3858], device='cuda:0') %
Progreso tensor([2.7422], device='cuda:0') %
Progreso tensor([3.2257], device='cuda:0') %
Progreso tensor([3.0630], device='cuda:0') %
Progreso tensor([3.1681], device='cuda:0') %
Progreso tensor([2.8131], device='cuda:0') %
Progreso tensor([3.3022], device='cuda:0') %
Progreso tensor([2.9879], device='cuda:0') %
Progreso tensor([3.1808], device='cuda:0') %
Progreso tensor([3.0051], device='cuda:0') %
Progreso tensor([3.1025], device='cuda:0') %
Progreso tensor([3.0129], device='cuda:0') %
Progreso tensor([3.0258], device='cuda:0') %
Progreso tensor([3.1550], device='cuda:0') %
Progreso tensor([3.3160], device='cuda:0') %
Progreso tensor([3.1588], device='cuda:0') %
Progreso tensor([3.5298], device='cuda:0') %
Progreso tensor([3.1159], device='cuda:0') %
Progreso tensor([3.5491], device='cuda:0') %
Progreso tensor([3.4140], device='cuda:0') %
Progreso tensor([4.0765], device='cuda:0') %
Progreso tensor([4.6963], device='cuda:0') %
Progreso tensor([4.5959], device='cuda:0') %
Progreso tensor([5.3469], device='cuda:0') %
Progreso tensor([5.4236], device='cuda:0') %
Progreso tensor([7.3143], device='cuda:0') %
Progreso tensor([7.7364], device='cuda:0') %
Progreso tensor([11.2984], device='cuda:0') %
Progreso tensor([16.5679], device='cuda:0') %
Progreso tensor([17.6133], device='cuda:0') %
Progreso tensor([25.1992], device='cuda:0') %
Progreso tensor([35.6671], device='cuda:0') %
Progreso tensor([40.5590], device='cuda:0') %
Progreso tensor([9.6355], device='cuda:0') %
Progreso tensor([30.8164], device='cuda:0') %
Progreso tensor([47.7781], device='cuda:0') %
Progreso tensor([53.2693], device='cuda:0') %
Progreso tensor([108.0526], device='cuda:0') %
Progreso tensor([81.6542], device='cuda:0') %
Progreso tensor([115.4599], device='cuda:0') %
Progreso tensor([136.1055], device='cuda:0') %
Progreso tensor([170.9462], device='cuda:0') %
Progreso tensor([147.0814], device='cuda:0') %
Progreso tensor([499.5103], device='cuda:0') %
Progreso tensor([281.9861], device='cuda:0') %
Progreso tensor([211.8917], device='cuda:0') %
Progreso tensor([425.3466], device='cuda:0') %
Progreso tensor([461.3019], device='cuda:0') %
Progreso tensor([181.1644], device='cuda:0') %
Progreso tensor([277.2347], device='cuda:0') %
